temp_avg,temp_min,temp_max,temp_observ,precip,wind,casual,registered,total_cust,holiday,rain,fog,ice,year,season_spring,season_summer,season_fall,dayOfWeek_Friday,dayOfWeek_Monday,dayOfWeek_Saturday,dayOfWeek_Sunday,dayOfWeek_Thursday,dayOfWeek_Tuesday,dayOfWeek_Wednesday,total_cust_log,total_cust_diff
1.43,-3.48,6.34,-2.47,0.38,4.2,61.0,1473.0,1534.0,0.0,0,1,0,2011,1,0,0,0,0,0,0,1,0,0,7.335633981927201,0.021081149603121574
-1.05,-5.22,3.12,-3.28,0.0,1.88,88.0,1603.0,1691.0,0.0,0,0,0,2011,1,0,0,1,0,0,0,0,0,0,7.43307534889858,0.0974413669713785
1.2,-2.3,4.69,0.97,1.99,2.4,100.0,892.0,992.0,0.0,1,1,0,2011,1,0,0,0,0,1,0,0,0,0,6.899723107284872,-0.5333522416137075
3.06,-0.13,6.26,1.93,2.76,2.72,354.0,1249.0,1603.0,0.0,0,1,0,2011,1,0,0,0,0,0,1,0,0,0,7.3796321526095525,0.47990904532468015
2.56,-3.02,8.15,-1.72,0.0,0.98,119.0,1568.0,1687.0,0.0,1,1,0,2011,1,0,0,0,1,0,0,0,0,0,7.430707082545968,0.051074929936415714
1.91,-3.51,7.33,1.21,0.21,6.52,64.0,1446.0,1510.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,0,1,0,7.31986492980897,-0.11084215273699805
-2.97,-8.17,2.23,-6.1,0.0,2.98,52.0,1540.0,1592.0,0.0,1,1,1,2011,1,0,0,0,0,0,0,0,0,1,7.3727463664043285,0.05288143659535827
-3.3,-7.06,0.46,-5.21,0.53,3.65,46.0,1474.0,1520.0,0.0,0,1,1,2011,1,0,0,0,0,0,0,1,0,0,7.326465613840322,-0.0462807525640061
-3.42,-9.45,2.61,-7.79,0.12,1.42,148.0,1576.0,1724.0,0.0,0,1,0,2011,1,0,0,1,0,0,0,0,0,0,7.452402451223638,0.12593683738331585
-0.53,-7.85,6.79,-3.23,0.0,3.55,288.0,1167.0,1455.0,0.0,0,1,0,2011,1,0,0,0,0,1,0,0,0,0,7.282761179605593,-0.16964127161804488
2.76,-3.59,9.11,2.48,0.0,3.82,396.0,1162.0,1558.0,0.0,0,0,0,2011,1,0,0,0,0,0,1,0,0,0,7.351158226430694,0.06839704682510028
8.61,2.31,14.91,7.87,0.0,7.5,207.0,1685.0,1892.0,0.0,0,0,0,2011,1,0,0,0,1,0,0,0,0,0,7.545389749611823,0.1942315231811298
6.63,-1.33,14.59,-0.41,0.0,4.42,139.0,1641.0,1780.0,0.0,0,1,0,2011,1,0,0,0,0,0,0,0,1,0,7.484368643286131,-0.061021106325692465
3.41,-3.05,9.88,1.07,0.0,3.48,218.0,1861.0,2079.0,0.0,0,1,0,2011,1,0,0,0,0,0,0,0,0,1,7.639642287858013,0.1552736445718823
9.15,1.49,16.81,6.82,0.0,3.4,258.0,2185.0,2443.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,1,0,0,7.8009820712577405,0.1613397833997272
14.67,6.86,22.48,12.89,0.0,5.0,578.0,2314.0,2892.0,0.0,0,1,0,2011,1,0,0,1,0,0,0,0,0,0,7.969703583278656,0.16872151202091512
13.12,6.08,20.15,7.72,0.01,10.07,532.0,1077.0,1609.0,0.0,0,1,0,2011,1,0,0,0,0,1,0,0,0,0,7.3833681469923835,-0.586335436286272
5.18,-1.2,11.56,0.5,0.07,3.65,639.0,1148.0,1787.0,0.0,1,1,1,2011,1,0,0,0,0,0,1,0,0,0,7.488293515159428,0.10492536816704412
3.93,-1.0,8.85,5.81,0.87,4.25,195.0,898.0,1093.0,1.0,1,1,1,2011,1,0,0,0,1,0,0,0,0,0,6.996681488176539,-0.49161202698288875
0.42,-4.8,5.63,-4.38,9.05,3.2,74.0,1358.0,1432.0,0.0,1,1,1,2011,1,0,0,0,0,0,0,0,1,0,7.266827347520591,0.2701458593440522
-1.39,-6.23,3.46,-4.16,0.15,1.15,139.0,1740.0,1879.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,0,0,1,7.538494999413465,0.2716676518928738
2.04,-4.48,8.57,-0.25,0.19,3.2,100.0,1686.0,1786.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,1,0,0,7.487733761436444,-0.05076123797702081
6.93,-0.25,14.11,6.76,7.36,6.42,120.0,1323.0,1443.0,0.0,1,1,0,2011,1,0,0,1,0,0,0,0,0,0,7.274479558773871,-0.213254202662573
6.63,-0.03,13.29,1.16,2.75,2.98,424.0,1519.0,1943.0,0.0,0,1,0,2011,1,0,0,0,0,1,0,0,0,0,7.57198844937744,0.2975088906035692
5.93,0.22,11.64,3.53,0.01,2.0,694.0,1677.0,2371.0,0.0,1,1,0,2011,1,0,0,0,0,0,1,0,0,0,7.771067086065406,0.19907863668796555
10.58,3.14,18.02,10.35,6.12,4.18,80.0,1350.0,1430.0,0.0,1,1,0,2011,1,0,0,0,1,0,0,0,0,0,7.265429723253953,-0.505637362811453
8.25,-0.17,16.67,1.07,11.18,3.32,137.0,1695.0,1832.0,0.0,0,1,0,2011,1,0,0,0,0,0,0,0,1,0,7.513163545234075,0.2477338219801224
